Name                  ,birth year ,death year ,sex ,category    ,wikipedia URL
Plato                 ,-428       ,-348       ,m   ,philosopher ,https://en.wikipedia.org/wiki/Plato
Pericles              ,-495       ,-429       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Pericles
Pythagoras            ,-570       ,-495       ,m   ,philosopher ,https://en.wikipedia.org/wiki/Pythagoras
Nebuchadnezzar II     ,-642       ,-562       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Nebuchadnezzar_II
Ashurbanipal          ,-685       ,-631       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Ashurbanipal
Sennacherib           ,-745       ,-681       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Sennacherib
Tiglath-Pileser III   ,-795       ,-727       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Tiglath-Pileser_III
Adad-nirari III       ,-825       ,-783       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Adad-nirari_III
Shalmaneser III       ,-893       ,-824       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Shalmaneser_III
Adad-nirari II        ,-931       ,-891       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Adad-nirari_II
Solomon               ,-990       ,-931       ,m   ,monarch     ,https://en.wikipedia.org/wiki/Solomon
King David            ,-1040      ,-970       ,m   ,monarch     ,https://en.wikipedia.org/wiki/David
Samuel                ,-1070      ,-1015      ,m   ,religious   ,https://en.wikipedia.org/wiki/Samuel
King Wen of Zhou      ,-1112      ,-1050      ,m   ,monarch     ,https://en.wikipedia.org/wiki/King_Wen_of_Zhou
Ramesses XI           ,-1127      ,-1077      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Ramesses_XI
Ramesses III          ,-1186      ,-1155      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Ramesses_III

Ramesses the Great    ,-1303      ,-1213      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Ramesses_II

Tutankhamun           ,-1341      ,-1323      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Tutankhamun
Tushratta             ,-1378      ,-1335      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Tushratta
Amenhotep III         ,-1410      ,-1352      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Amenhotep_III
Amenhotep II          ,-1447      ,-1401      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Amenhotep_II
Thutmose III          ,-1481      ,-1425      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Thutmose_III
Hatshepsut            ,-1507      ,-1458      ,f   ,monarch     ,https://en.wikipedia.org/wiki/Hatshepsut





Ea-nāṣir              ,-1775      ,-1725      ,m   ,merchant    ,https://en.wikipedia.org/wiki/Complaint_tablet_to_Ea-n%C4%81%E1%B9%A3ir
Hammurabi             ,-1810      ,-1750      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Hammurabi






Ur-Nammu              ,-2068      ,-2030      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Ur-Nammu
Shulgi                ,-2104      ,-2047      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Shulgi



Naram-Sin             ,-2274      ,-2218      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Naram-Sin_of_Akkad

Sargon of Akkad       ,-2354      ,-2279      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Sargon_of_Akkad





Cheops                ,-2609      ,-2566      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Khufu









Iry-Hor               ,-3175      ,-3125      ,m   ,monarch     ,https://en.wikipedia.org/wiki/Iry-Hor

