Name,birth year,death year,sex,category,wikipedia URL,
'Plato',-428,-348,m,philosopher,https://en.wikipedia.org/wiki/Plato
'Herodotus',-484,-425,m,historian,https://en.wikipedia.org/wiki/Herodotus
'Confucius',-551,-479,m,philosopher,https://en.wikipedia.org/wiki/Confucius
'Gautama Buddah',-563,-483,m,teacher,https://en.wikipedia.org/wiki/The_Buddha
'Pythagoras',-570,-495,m,mathematician,https://en.wikipedia.org/wiki/Pythagoras
'Sappho',-630,-570,f,poet,https://en.wikipedia.org/wiki/Sappho
'Homer',-775*,-725*,m,writer,https://en.wikipedia.org/wiki/Homer
'Zoroaster',-1025*,-975*,m,prophet,https://en.wikipedia.org/wiki/Zoroaster
'Ramesses the Great',-1303,-1213,m,monarch,https://en.wikipedia.org/wiki/Ramesses_II
'Tutankhamun',-1341,-1323,m,monarch,https://en.wikipedia.org/wiki/Tutankhamun
'Hatshepsut',-1507,-1458,f,monarch,https://en.wikipedia.org/wiki/Hatshepsut
'Ea-nāṣir',-1775*,-1725*,m*,merchant,https://en.wikipedia.org/wiki/Complaint_tablet_to_Ea-n%C4%81%E1%B9%A3ir
'Hammurabi',-1810,-1750,m,monarch,https://en.wikipedia.org/wiki/Hammurabi
'Cheops',-2609*,-2566,m,monarch,https://en.wikipedia.org/wiki/Khufu
'Pharaoh Iry-Hor',-3175*,-3125*,m,monarch,https://en.wikipedia.org/wiki/Iry-Hor
